user_details,star_rating,review_title,review_date,comments
Divesh Ahuja,1.0 out of 5 stars,"







  
  
    Poor quality not recommended
  
",Reviewed in India on 29 June 2020,"









  
  
    
  Very poor quality . 3 layer mask (packing says 6 layers ) .no return policy .You are stuck with what u buy .wouldn’t  recommend .Definitely not giordano like

  
"
Arnab in Bangalore,2.0 out of 5 stars,"







  
  
    Overpriced. Difficult to breathe.
  
",Reviewed in India on 13 June 2020,"









  
  
    
  I bought this because it looked good in the photos. What I received looks rather average. Wearing the mask for any duration longer than 10 mins makes it uncomfortable. Breathing through it is very laboured. If you talk through it, your voice sounds muffled. At 150 bucks a pop, this is mostly a waste. I'll have to replace this with something else now.

  
"
abhishek Kumar,3.0 out of 5 stars,"







  
  
    SMALL size. Good Young Boys
  
",Reviewed in India on 12 June 2020,"









  
  
    
  Vertical Size of Mask is too smallHorizontal is comfortableLean guys can prefer not for big size guysOuter material is cotton softInside the mask may be a FilterYou cannot blow a cadle with this maskIts safe** based on the facts its mentioned.Good for lean or young guys

  
"
Divesh Ahuja,1.0 out of 5 stars,"







  
  
    Poor quality not recommended
  
",Reviewed in India on 29 June 2020,"









  
  
    
  Very poor quality . 3 layer mask (packing says 6 layers ) .no return policy .You are stuck with what u buy .wouldn’t  recommend .Definitely not giordano like

  
"
Arnab in Bangalore,2.0 out of 5 stars,"







  
  
    Overpriced. Difficult to breathe.
  
",Reviewed in India on 13 June 2020,"









  
  
    
  I bought this because it looked good in the photos. What I received looks rather average. Wearing the mask for any duration longer than 10 mins makes it uncomfortable. Breathing through it is very laboured. If you talk through it, your voice sounds muffled. At 150 bucks a pop, this is mostly a waste. I'll have to replace this with something else now.

  
"
abhishek Kumar,3.0 out of 5 stars,"







  
  
    SMALL size. Good Young Boys
  
",Reviewed in India on 12 June 2020,"









  
  
    
  Vertical Size of Mask is too smallHorizontal is comfortableLean guys can prefer not for big size guysOuter material is cotton softInside the mask may be a FilterYou cannot blow a cadle with this maskIts safe** based on the facts its mentioned.Good for lean or young guys

  
"
Regular Customer,2.0 out of 5 stars,"







  
  
    Not worth it.
  
",Reviewed in India on 28 June 2020,"









  
  
    
  It is very attractive on the outside, but it is equally useless.It does not have a nose clip. So, there is plenty of gap for air and virus to enter through the mask. The fitting is also not good. Might fit for people with broad faces.I used sanitizer to clean the inside of the mask first, and it soaked through and came out the outer end of the mask. So, the filter is clearly not good. Doesn't feel like a 6-layered filtration.Don't go for it if you want to buy it for pandemic situation.Ok for use in kitchen and mild dusting at home.

  
"
MD,1.0 out of 5 stars,"







  
  
    HUGE in size and super lose, slip from face frequently
  
",Reviewed in India on 27 June 2020,"









  
  
    
  These masks do not fit!! These do not fit anyone at all - not me, my husband, mom - we all have very different head sizes and even then these are way too loose. Reviews mention them being a bit tight so I'm thinking these differ batch to batch - making them a bit of a gamble. Would not recommend

  
"
AJ 91,1.0 out of 5 stars,"







  
  
    3 layer mask , not 6 layer as mentioned
  
",Reviewed in India on 29 July 2020,"









  
  
    
  Before you use this mask, please cut this mask with scissors and see it with ur eyes that it’s just 3 layer mask. It’s hard to believe people selling so inferior product even during this difficult times. I don’t know how much money will be enough for these guys to actually start caring for humanity.

  
"
MD,1.0 out of 5 stars,"







  
  
    HUGE in size and super lose, slip from face frequently
  
",Reviewed in India on 27 June 2020,"









  
  
    
  These masks do not fit!! These do not fit anyone at all - not me, my husband, mom - we all have very different head sizes and even then these are way too loose. Reviews mention them being a bit tight so I'm thinking these differ batch to batch - making them a bit of a gamble. Would not recommend

  
"
AJ 91,1.0 out of 5 stars,"







  
  
    3 layer mask , not 6 layer as mentioned
  
",Reviewed in India on 29 July 2020,"









  
  
    
  Before you use this mask, please cut this mask with scissors and see it with ur eyes that it’s just 3 layer mask. It’s hard to believe people selling so inferior product even during this difficult times. I don’t know how much money will be enough for these guys to actually start caring for humanity.

  
"
Amazon Customer,2.0 out of 5 stars,"







  
  
    Not worth the cost
  
",Reviewed in India on 12 June 2020,"









  
  
    
  The quality is not that good, it's just simple cloth material, the ear loops are also small. It's more of style thing, with the brand name on the side of the mask

  
"
MD,1.0 out of 5 stars,"







  
  
    HUGE in size and super lose, slip from face frequently
  
",Reviewed in India on 27 June 2020,"









  
  
    
  These masks do not fit!! These do not fit anyone at all - not me, my husband, mom - we all have very different head sizes and even then these are way too loose. Reviews mention them being a bit tight so I'm thinking these differ batch to batch - making them a bit of a gamble. Would not recommend

  
"
AJ 91,1.0 out of 5 stars,"







  
  
    3 layer mask , not 6 layer as mentioned
  
",Reviewed in India on 29 July 2020,"









  
  
    
  Before you use this mask, please cut this mask with scissors and see it with ur eyes that it’s just 3 layer mask. It’s hard to believe people selling so inferior product even during this difficult times. I don’t know how much money will be enough for these guys to actually start caring for humanity.

  
"
Amazon Customer,2.0 out of 5 stars,"







  
  
    Not worth the cost
  
",Reviewed in India on 12 June 2020,"









  
  
    
  The quality is not that good, it's just simple cloth material, the ear loops are also small. It's more of style thing, with the brand name on the side of the mask

  
"
AJ 91,1.0 out of 5 stars,"







  
  
    3 layer mask , not 6 layer as mentioned
  
",Reviewed in India on 29 July 2020,"









  
  
    
  Before you use this mask, please cut this mask with scissors and see it with ur eyes that it’s just 3 layer mask. It’s hard to believe people selling so inferior product even during this difficult times. I don’t know how much money will be enough for these guys to actually start caring for humanity.

  
"
Amazon Customer,2.0 out of 5 stars,"







  
  
    Not worth the cost
  
",Reviewed in India on 12 June 2020,"









  
  
    
  The quality is not that good, it's just simple cloth material, the ear loops are also small. It's more of style thing, with the brand name on the side of the mask

  
"
PRATIK GAJBHIYE,3.0 out of 5 stars,"







  
  
    Nice quality mask but no nose clip
  
",Reviewed in India on 14 June 2020,"









  
  
    
  It’s of no use against Corona as It doesn’t have a nose clip so the upper nose area is kind of open.No perfect fit. Though the material is good, soft n breathable.

  
"
Regular Customer,2.0 out of 5 stars,"







  
  
    Not worth it.
  
",Reviewed in India on 28 June 2020,"









  
  
    
  It is very attractive on the outside, but it is equally useless.It does not have a nose clip. So, there is plenty of gap for air and virus to enter through the mask. The fitting is also not good. Might fit for people with broad faces.I used sanitizer to clean the inside of the mask first, and it soaked through and came out the outer end of the mask. So, the filter is clearly not good. Doesn't feel like a 6-layered filtration.Don't go for it if you want to buy it for pandemic situation.Ok for use in kitchen and mild dusting at home.

  
"
SATYAJIT SHARMA,1.0 out of 5 stars,"







  
  
    DO NOT PURCHASE, DUPLICATE, NON BRANDED
  
",Reviewed in India on 27 June 2020,"









  
  
    
  Utter waste .. nothing better than a roadside mask..and above all NON RETURNABLECONS:1. BASIC HOSIERY FABRIC2. STIFF INNER LAYER3. DOESN'T COVER FULL LOWER FACE4. YOU BREATHE FROM NOSE GAPS5. NO NOSE CLIP FOR CLOSE FIT ON NOSE6. STRINGS CAN'T BE USED BEHIND HEAD7. ACHY ON EARS8. POOR BRANDING AS PRINTING ISN'T IMPRESSIVE9. PACKAGING IS PATHETIC AS YOU GET THEM IN RESEALABLE POUCHES, SO YOU CAN'T BE SURE OF THE FIRST HAND USE OR OF GETTING SEALED PACKPROS: NOTHING ON PRO SIDEI FEEL LOOTED BY JUST SHOWING JIORDANO BRAND..

  
"
PRATIK GAJBHIYE,3.0 out of 5 stars,"







  
  
    Nice quality mask but no nose clip
  
",Reviewed in India on 14 June 2020,"









  
  
    
  It’s of no use against Corona as It doesn’t have a nose clip so the upper nose area is kind of open.No perfect fit. Though the material is good, soft n breathable.

  
"
SATYAJIT SHARMA,1.0 out of 5 stars,"







  
  
    DO NOT PURCHASE, DUPLICATE, NON BRANDED
  
",Reviewed in India on 27 June 2020,"









  
  
    
  Utter waste .. nothing better than a roadside mask..and above all NON RETURNABLECONS:1. BASIC HOSIERY FABRIC2. STIFF INNER LAYER3. DOESN'T COVER FULL LOWER FACE4. YOU BREATHE FROM NOSE GAPS5. NO NOSE CLIP FOR CLOSE FIT ON NOSE6. STRINGS CAN'T BE USED BEHIND HEAD7. ACHY ON EARS8. POOR BRANDING AS PRINTING ISN'T IMPRESSIVE9. PACKAGING IS PATHETIC AS YOU GET THEM IN RESEALABLE POUCHES, SO YOU CAN'T BE SURE OF THE FIRST HAND USE OR OF GETTING SEALED PACKPROS: NOTHING ON PRO SIDEI FEEL LOOTED BY JUST SHOWING JIORDANO BRAND..

  
"
PRATIK GAJBHIYE,3.0 out of 5 stars,"







  
  
    Nice quality mask but no nose clip
  
",Reviewed in India on 14 June 2020,"









  
  
    
  It’s of no use against Corona as It doesn’t have a nose clip so the upper nose area is kind of open.No perfect fit. Though the material is good, soft n breathable.

  
"
Regular Customer,2.0 out of 5 stars,"







  
  
    Not worth it.
  
",Reviewed in India on 28 June 2020,"









  
  
    
  It is very attractive on the outside, but it is equally useless.It does not have a nose clip. So, there is plenty of gap for air and virus to enter through the mask. The fitting is also not good. Might fit for people with broad faces.I used sanitizer to clean the inside of the mask first, and it soaked through and came out the outer end of the mask. So, the filter is clearly not good. Doesn't feel like a 6-layered filtration.Don't go for it if you want to buy it for pandemic situation.Ok for use in kitchen and mild dusting at home.

  
"
MD,1.0 out of 5 stars,"







  
  
    HUGE in size and super lose, slip from face frequently
  
",Reviewed in India on 27 June 2020,"









  
  
    
  These masks do not fit!! These do not fit anyone at all - not me, my husband, mom - we all have very different head sizes and even then these are way too loose. Reviews mention them being a bit tight so I'm thinking these differ batch to batch - making them a bit of a gamble. Would not recommend

  
"
Divesh Ahuja,1.0 out of 5 stars,"







  
  
    Poor quality not recommended
  
",Reviewed in India on 29 June 2020,"









  
  
    
  Very poor quality . 3 layer mask (packing says 6 layers ) .no return policy .You are stuck with what u buy .wouldn’t  recommend .Definitely not giordano like

  
"
SATYAJIT SHARMA,1.0 out of 5 stars,"







  
  
    DO NOT PURCHASE, DUPLICATE, NON BRANDED
  
",Reviewed in India on 27 June 2020,"









  
  
    
  Utter waste .. nothing better than a roadside mask..and above all NON RETURNABLECONS:1. BASIC HOSIERY FABRIC2. STIFF INNER LAYER3. DOESN'T COVER FULL LOWER FACE4. YOU BREATHE FROM NOSE GAPS5. NO NOSE CLIP FOR CLOSE FIT ON NOSE6. STRINGS CAN'T BE USED BEHIND HEAD7. ACHY ON EARS8. POOR BRANDING AS PRINTING ISN'T IMPRESSIVE9. PACKAGING IS PATHETIC AS YOU GET THEM IN RESEALABLE POUCHES, SO YOU CAN'T BE SURE OF THE FIRST HAND USE OR OF GETTING SEALED PACKPROS: NOTHING ON PRO SIDEI FEEL LOOTED BY JUST SHOWING JIORDANO BRAND..

  
"
